Fecha,Precio_m2_centro
2025-07-01,25.7335
2025-06-01,25.9895
2025-05-01,25.9461
2025-04-01,25.8133
2025-03-01,25.6793
2025-02-01,25.9842
2025-01-01,25.7113
2024-12-01,25.4751
2024-11-01,24.9786
2024-10-01,24.4437
2024-09-01,24.0
2024-08-01,23.6114
2024-07-01,23.3371
2024-06-01,23.5329
2024-05-01,23.5753
2024-04-01,23.569
2024-03-01,23.3333
2024-02-01,23.0769
2024-01-01,22.5926
2023-12-01,22.093
2023-11-01,21.8182
2023-10-01,21.1667
2023-09-01,20.5855
2023-08-01,20.2953
2023-07-01,19.9904
2023-06-01,20.1001
2023-05-01,20.2401
2023-04-01,19.9977
2023-03-01,19.9927
2023-02-01,20.4579
2023-01-01,20.1557
2022-12-01,19.5227
2022-11-01,19.0819
2022-10-01,18.8164
2022-09-01,18.5661
2022-08-01,18.3302
2022-07-01,18.0639
2022-06-01,17.9715
2022-05-01,17.859
2022-04-01,17.8254
2022-03-01,17.7427
2022-02-01,17.6419
2022-01-01,17.3017
2021-12-01,17.1376
2021-11-01,16.9945
2021-10-01,16.843
2021-09-01,16.6333
2021-08-01,16.2501
2021-07-01,16.0865
2021-06-01,16.0014
2021-05-01,15.9993
2021-04-01,15.9979
2021-03-01,16.1849
2021-02-01,16.2461
2021-01-01,16.2473
2020-12-01,16.5491
2020-11-01,16.9925
2020-10-01,17.3617
2020-09-01,17.682
2020-08-01,17.7897
2020-07-01,17.9988
2020-06-01,18.4985
2020-05-01,19.2262
2020-04-01,19.1393
2020-03-01,18.9896
2020-02-01,18.9908
2020-01-01,18.7404
2019-12-01,18.5081
2019-11-01,18.6254
2019-10-01,18.5931
2019-09-01,18.4327
2019-08-01,18.3214
2019-07-01,18.2356
2019-06-01,18.1646
2019-05-01,18.1676
2019-04-01,18.2443
2019-03-01,18.1214
2019-02-01,18.1778
2019-01-01,17.985
2018-12-01,17.978
2018-11-01,18.229
2018-10-01,18.3138
2018-09-01,18.3118
2018-08-01,18.2674
2018-07-01,18.2027
2018-06-01,18.3184
2018-05-01,18.3267
2018-04-01,18.5565
2018-03-01,18.4499
2018-02-01,18.245
2018-01-01,17.99
2017-12-01,17.7111
2017-11-01,17.6802
2017-10-01,17.4472
2017-09-01,17.2983
2017-08-01,17.1352
2017-07-01,17.2555
2017-06-01,17.2435
2017-05-01,17.2683
2017-04-01,17.4964
2017-03-01,17.2949
2017-02-01,17.2187
2017-01-01,16.9962
2016-12-01,16.5781
2016-11-01,16.2479
2016-10-01,15.983
2016-09-01,15.6632
2016-08-01,15.3319
2016-07-01,15.3841
2016-06-01,15.384
2016-05-01,15.4923
2016-04-01,15.2793
2016-03-01,15.1372
2016-02-01,14.9973
2016-01-01,14.998
2015-12-01,14.5404
2015-11-01,14.4431
2015-10-01,14.2866
2015-09-01,14.1671
2015-08-01,14.0303
2015-07-01,13.8889
2015-06-01,13.8462
2015-05-01,13.8889
2015-04-01,13.8462
2015-03-01,13.75
2015-02-01,13.75
2015-01-01,13.7679
2014-12-01,13.6665
2014-11-01,13.6363
2014-10-01,13.6364
2014-09-01,13.5294
2014-08-01,13.3323
2014-07-01,13.3322
2014-06-01,13.3333
2014-05-01,13.3924
2014-04-01,13.3329
2014-03-01,13.3329
2014-02-01,13.3329
2014-01-01,13.2662
2013-12-01,13.25
2013-11-01,13.3326
2013-10-01,13.3318
2013-09-01,13.3318
2013-08-01,13.3318
2013-07-01,13.3333
2013-06-01,13.3333
2013-05-01,13.4328
2013-04-01,13.5407
2013-03-01,13.6353
2013-02-01,13.6412
2013-01-01,13.6416
2012-12-01,13.75
2012-11-01,13.8889
2012-10-01,13.9535
2012-09-01,14.0541
2012-08-01,14.0351
2012-07-01,14.0625
2012-06-01,14.1674
2012-05-01,14.2872
2012-04-01,14.4459
2012-03-01,14.5461
2012-02-01,14.7051
2012-01-01,14.8748
2011-12-01,14.9988
2011-11-01,15.0
2011-10-01,14.8613
2011-09-01,14.8611
2011-08-01,14.9957
2011-07-01,14.9944
2011-06-01,15.0
2011-05-01,15.0
2011-04-01,15.0
2011-03-01,15.2
2011-02-01,15.3846
2011-01-01,15.5172
2010-12-01,15.3846
2010-11-01,15.3846
2010-10-01,15.4149
2010-09-01,15.2273
2010-08-01,15.2778
2010-07-01,15.3846
2010-06-01,15.5556
2010-05-01,15.5
2010-04-01,15.5
2010-03-01,15.7012
2010-02-01,16.0
2010-01-01,16.25
2009-12-01,15.7609
2009-11-01,15.9794
2009-10-01,15.9574
2009-09-01,16.0
2009-08-01,15.625
2009-07-01,15.8333
2009-06-01,16.0714
2009-05-01,16.1111
2009-04-01,17.5
2009-03-01,17.6136
2009-02-01,18.3019
2009-01-01,17.75
2008-12-01,19.1406
2008-11-01,17.75
2008-10-01,18.3333
