Fecha,Precio_m2
2025-07-01,7313.66
2025-06-01,7253.04
2025-05-01,7197.5
2025-04-01,6993.88
2025-03-01,6816.37
2025-02-01,6749.21
2025-01-01,6739.31
2024-12-01,6618.57
2024-11-01,6594.03
2024-10-01,6546.03
2024-09-01,6396.92
2024-08-01,6293.97
2024-07-01,6223.33
2024-06-01,6170.06
2024-05-01,6204.98
2024-04-01,6220.74
2024-03-01,6144.48
2024-02-01,6090.56
2024-01-01,5985.83
2023-12-01,5877.34
2023-11-01,5718.59
2023-10-01,5595.29
2023-09-01,5488.15
2023-08-01,5381.1
2023-07-01,5360.86
2023-06-01,5368.34
2023-05-01,5357.18
2023-04-01,5292.13
2023-03-01,5247.25
2023-02-01,5151.61
2023-01-01,5136.86
2022-12-01,5100.91
2022-11-01,5135.98
2022-10-01,5129.96
2022-09-01,5115.04
2022-08-01,5110.84
2022-07-01,5128.35
2022-06-01,5092.06
2022-05-01,5040.07
2022-04-01,4992.28
2022-03-01,4993.64
2022-02-01,4934.77
2022-01-01,4859.85
2021-12-01,4825.85
2021-11-01,4821.51
2021-10-01,4796.18
2021-09-01,4793.04
2021-08-01,4785.73
2021-07-01,4748.44
2021-06-01,4721.13
2021-05-01,4729.95
2021-04-01,4721.33
2021-03-01,4746.61
2021-02-01,4747.14
2021-01-01,4716.95
2020-12-01,4725.07
2020-11-01,4768.91
2020-10-01,4815.77
2020-09-01,4846.55
2020-08-01,4873.64
2020-07-01,4890.0
2020-06-01,4954.8
2020-05-01,4993.11
2020-04-01,4993.83
2020-03-01,4992.78
2020-02-01,4995.72
2020-01-01,5027.63
2019-12-01,5027.24
2019-11-01,5012.64
2019-10-01,5012.46
2019-09-01,4991.96
2019-08-01,4990.11
2019-07-01,4989.51
2019-06-01,4992.61
2019-05-01,4987.77
2019-04-01,4988.93
2019-03-01,4990.15
2019-02-01,4989.67
2019-01-01,4959.43
2018-12-01,4953.08
2018-11-01,4933.91
2018-10-01,4900.91
2018-09-01,4929.15
2018-08-01,4966.58
2018-07-01,4957.36
2018-06-01,4892.54
2018-05-01,4853.03
2018-04-01,4785.09
2018-03-01,4703.13
2018-02-01,4633.35
2018-01-01,4530.12
2017-12-01,4486.27
2017-11-01,4426.19
2017-10-01,4361.35
2017-09-01,4294.25
2017-08-01,4260.68
2017-07-01,4187.62
2017-06-01,4078.29
2017-05-01,3996.95
2017-04-01,3922.15
2017-03-01,3858.33
2017-02-01,3794.99
2017-01-01,3766.61
2016-12-01,3787.71
2016-11-01,3805.38
2016-10-01,3745.28
2016-09-01,3731.05
2016-08-01,3702.64
2016-07-01,3670.86
2016-06-01,3642.94
2016-05-01,3626.03
2016-04-01,3654.72
2016-03-01,3601.09
2016-02-01,3556.42
2016-01-01,3564.79
2015-12-01,3552.29
2015-11-01,3531.43
2015-10-01,3499.93
2015-09-01,3455.08
2015-08-01,3438.06
2015-07-01,3414.73
2015-06-01,3398.51
2015-05-01,3393.64
2015-04-01,3374.15
2015-03-01,3367.51
2015-02-01,3334.28
2015-01-01,3333.95
2014-12-01,3333.91
2014-11-01,3327.15
2014-10-01,3333.49
2014-09-01,3291.98
2014-08-01,3286.06
2014-07-01,3286.48
2014-06-01,3291.37
2014-05-01,3288.68
2014-04-01,3274.02
2014-03-01,3273.77
2014-02-01,3278.95
2014-01-01,3270.41
2013-12-01,3258.48
2013-11-01,3249.35
2013-10-01,3273.92
2013-09-01,3288.58
2013-08-01,3247.8
2013-07-01,3282.4
2013-06-01,3286.47
2013-05-01,3320.88
2013-04-01,3337.54
2013-03-01,3370.28
2013-02-01,3399.76
2013-01-01,3406.68
2012-12-01,3419.07
2012-11-01,3472.16
2012-10-01,3513.64
2012-09-01,3500.14
2012-08-01,3499.27
2012-07-01,3523.02
2012-06-01,3576.06
2012-05-01,3603.14
2012-04-01,3661.31
2012-03-01,3709.23
2012-02-01,3744.04
2012-01-01,3761.16
2011-12-01,3772.39
2011-11-01,3807.99
2011-10-01,3810.5
2011-09-01,3804.19
2011-08-01,3812.72
2011-07-01,3851.35
2011-06-01,3890.29
2011-05-01,3940.57
2011-04-01,3957.8
2011-03-01,3989.1
2011-02-01,3987.82
2011-01-01,3987.76
2010-12-01,3987.04
2010-11-01,4007.73
2010-10-01,3987.02
2010-09-01,3954.81
2010-08-01,3980.31
2010-07-01,3975.48
2010-06-01,3993.1
2010-05-01,3996.16
2010-04-01,4011.9
2010-03-01,4028.57
2010-02-01,4027.4
2010-01-01,4074.07
2009-12-01,4062.5
2009-11-01,4047.62
2009-10-01,4076.92
2009-09-01,4062.5
2009-08-01,4000.0
2009-07-01,4000.0
2009-06-01,4028.57
2009-05-01,4166.67
2009-04-01,4147.98
2009-03-01,4205.88
2009-02-01,4189.19
2009-01-01,4167.01
2008-12-01,4117.65
2008-11-01,4166.67
2008-10-01,4192.31
2008-09-01,4300.0
2008-08-01,4254.55
2008-07-01,4371.0
2008-06-01,4387.5
2008-05-01,4393.94
2008-04-01,4393.94
2008-03-01,4300.0
2008-02-01,4337.35
2008-01-01,4375.0
2007-12-01,4393.94
2007-11-01,4393.33
2007-10-01,4393.33
2007-09-01,4475.0
2007-08-01,4541.34
2007-07-01,4602.94
2007-06-01,4702.38
